Year,Month,Day,Hour,Minute,Second,T,Height,Date
2021,3,25,0,0,0,1,5658.685,2021-03-25 00:00:00
2021,3,24,23,45,0,1,5658.656,2021-03-24 23:45:00
2021,3,24,23,30,0,1,5658.624,2021-03-24 23:30:00
2021,3,24,23,15,0,1,5658.585,2021-03-24 23:15:00
2021,3,24,23,0,0,1,5658.542,2021-03-24 23:00:00
2021,3,24,22,45,0,1,5658.496,2021-03-24 22:45:00
2021,3,24,22,30,0,1,5658.448,2021-03-24 22:30:00
2021,3,24,22,15,0,1,5658.398,2021-03-24 22:15:00
2021,3,24,22,0,0,1,5658.347,2021-03-24 22:00:00
2021,3,24,21,45,0,1,5658.296,2021-03-24 21:45:00
2021,3,24,21,30,0,1,5658.245,2021-03-24 21:30:00
2021,3,24,21,15,0,1,5658.195,2021-03-24 21:15:00
2021,3,24,21,0,0,1,5658.147,2021-03-24 21:00:00
2021,3,24,20,45,0,1,5658.099,2021-03-24 20:45:00
2021,3,24,20,30,0,1,5658.055,2021-03-24 20:30:00
2021,3,24,20,15,0,1,5658.015,2021-03-24 20:15:00
2021,3,24,20,0,0,1,5657.976,2021-03-24 20:00:00
2021,3,24,19,45,0,1,5657.943,2021-03-24 19:45:00
2021,3,24,19,30,0,1,5657.913,2021-03-24 19:30:00
2021,3,24,19,15,0,1,5657.892,2021-03-24 19:15:00
2021,3,24,19,0,0,1,5657.875,2021-03-24 19:00:00
2021,3,24,18,45,0,1,5657.864,2021-03-24 18:45:00
2021,3,24,18,30,0,1,5657.86,2021-03-24 18:30:00
2021,3,24,18,15,0,1,5657.861,2021-03-24 18:15:00
2021,3,24,18,0,0,1,5657.867,2021-03-24 18:00:00
2021,3,24,17,45,0,1,5657.88,2021-03-24 17:45:00
2021,3,24,17,30,0,1,5657.899,2021-03-24 17:30:00
2021,3,24,17,15,0,1,5657.921,2021-03-24 17:15:00
2021,3,24,17,0,0,1,5657.948,2021-03-24 17:00:00
2021,3,24,16,45,0,1,5657.981,2021-03-24 16:45:00
2021,3,24,16,30,0,1,5658.018,2021-03-24 16:30:00
2021,3,24,16,15,0,1,5658.059,2021-03-24 16:15:00
2021,3,24,16,0,0,1,5658.101,2021-03-24 16:00:00
2021,3,24,15,45,0,1,5658.146,2021-03-24 15:45:00
2021,3,24,15,30,0,1,5658.195,2021-03-24 15:30:00
2021,3,24,15,15,0,1,5658.246,2021-03-24 15:15:00
2021,3,24,15,0,0,1,5658.297,2021-03-24 15:00:00
2021,3,24,14,45,0,1,5658.349,2021-03-24 14:45:00
2021,3,24,14,30,0,1,5658.399,2021-03-24 14:30:00
2021,3,24,14,15,0,1,5658.448,2021-03-24 14:15:00
2021,3,24,14,0,0,1,5658.497,2021-03-24 14:00:00
2021,3,24,13,45,0,1,5658.544,2021-03-24 13:45:00
2021,3,24,13,30,0,1,5658.587,2021-03-24 13:30:00
2021,3,24,13,15,0,1,5658.629,2021-03-24 13:15:00
2021,3,24,13,0,0,1,5658.665,2021-03-24 13:00:00
2021,3,24,12,45,0,1,5658.7,2021-03-24 12:45:00
2021,3,24,12,30,0,1,5658.727,2021-03-24 12:30:00
2021,3,24,12,15,0,1,5658.751,2021-03-24 12:15:00
2021,3,24,12,0,0,1,5658.773,2021-03-24 12:00:00
2021,3,24,11,45,0,1,5658.791,2021-03-24 11:45:00
2021,3,24,11,30,0,1,5658.803,2021-03-24 11:30:00
2021,3,24,11,15,0,1,5658.813,2021-03-24 11:15:00
2021,3,24,11,0,0,1,5658.818,2021-03-24 11:00:00
2021,3,24,10,45,0,1,5658.82,2021-03-24 10:45:00
2021,3,24,10,30,0,1,5658.818,2021-03-24 10:30:00
2021,3,24,10,15,0,1,5658.814,2021-03-24 10:15:00
2021,3,24,10,0,0,1,5658.806,2021-03-24 10:00:00
2021,3,24,9,45,0,1,5658.796,2021-03-24 09:45:00
2021,3,24,9,30,0,1,5658.783,2021-03-24 09:30:00
2021,3,24,9,15,0,1,5658.769,2021-03-24 09:15:00
2021,3,24,9,0,0,1,5658.753,2021-03-24 09:00:00
2021,3,24,8,45,0,1,5658.737,2021-03-24 08:45:00
2021,3,24,8,30,0,1,5658.718,2021-03-24 08:30:00
2021,3,24,8,15,0,1,5658.7,2021-03-24 08:15:00
2021,3,24,8,0,0,1,5658.683,2021-03-24 08:00:00
2021,3,24,7,45,0,1,5658.664,2021-03-24 07:45:00
2021,3,24,7,30,0,1,5658.645,2021-03-24 07:30:00
2021,3,24,7,15,0,1,5658.627,2021-03-24 07:15:00
2021,3,24,7,0,0,1,5658.61,2021-03-24 07:00:00
2021,3,24,6,45,0,1,5658.593,2021-03-24 06:45:00
